NTAName_y,Total,"White, not hispanic","Black or African American, not hispanic","American Indian and Alaska Native, not hispanic","Asain, not hispanic","Native Hawaiian and Other Pacific Islander, not hispanic","Some other race alone, not hispanic","Two or More Races, not hispanic",Hispanic or Latino
Morningside Heights,66438,34.292121978385865,21.328155573617508,0.28447575182877266,10.227580601463018,0.022577440621331168,0.44552816159426833,2.7469219422619586,30.65263855022728
Morris Park,63230,45.84374505772576,2.2204649691602087,0.11545152617428436,26.18693658073699,0.01739680531393326,0.2577890241973747,2.0085402498813854,23.34967578681006
Morrisania,84435,34.56149700953396,19.39361639130692,0.27595191567477945,7.873512169124178,0.0,0.38609581334754545,2.671877775803873,34.83744892520874
Mott Haven-Port Morris,139142,28.397608198818475,19.733797128113725,0.03952796423797272,12.467119920656595,0.02874761035488925,0.5914820830518464,2.9186011412801314,35.823115953486365
Mount Eden-Claremont (West),78770,9.640726164783548,25.335787736447884,0.10663958359781642,1.848419449028818,0.0,0.8099530278024628,1.7798654310016502,60.47860860733781
Mount Hebron & Cedar Grove Cemeteries,0,,,,,,,,
Mount Hope,112304,10.456439663769768,28.80930331956119,0.050755093318136484,4.270551360592677,0.044522011682575864,0.5387163413591679,1.4496367003846702,54.38007550933182
Mount Olivet & All Faiths Cemeteries,14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Murray Hill-Broadway Flushing,54362,22.063205915897132,1.1662558404768038,0.10669217468084323,58.43052132003973,0.10301313417460728,0.4745962253044406,1.109230712630146,16.54648467679629
Murray Hill-Kips Bay,109023,44.01640020913018,7.931353934490887,0.05595149647322125,16.126872311347146,0.0,0.7227832659163663,2.4371004283499813,28.709538354292214
New Dorp-Midland Beach,62079,61.72618759967139,2.9091963465906345,0.08054253451247603,16.00057990624849,0.0853750865832246,0.3721065094476393,1.9910114531484076,16.835000563797742
New Springville-Willowbrook-Bulls Head-Travis,49734,54.07367193469257,2.555595769493707,0.1105883299151486,17.889170386455948,0.056299513411348374,0.07238508867173363,1.6145896167611695,23.627699360598385
North & South Brother Islands,0,,,,,,,,
North Corona,91917,3.2583744029940056,23.09692439918622,0.02937432683834329,4.870698565009738,0.044605459273039806,0.3296452234080747,1.064003394366657,67.30637422892391
Norwood,54604,13.636363636363635,13.130906160720826,0.0,8.468244084682441,0.0,0.39557541572046007,1.7434620174346203,62.62544868507801
Oakland Gardens-Hollis Hills,25556,36.63327594302708,3.5764595398340897,0.9469400532164657,40.19408358115511,0.0,0.07434653310377211,1.72953513851933,16.845359211144153
Oakwood-Richmondtown,45718,68.32538606238244,1.9817139857386585,0.36965746533094185,10.149175379500415,0.0,0.07436895752220132,3.2678594864167283,15.831838663108622
Ocean Hill,84569,7.402239591339615,43.50175596258676,0.09577977745982572,2.3010795918126026,0.06858305052678877,0.26960233655358345,1.1848313211696957,45.17612836855112
