NTAName_x,Total Population_x,Below Poverty Line %,Total Population_y,Less than 9th grade,"9th to 12th grade, no diploma",High school diploma,Some college,Associate degree,Bachelor degree,Graduate degree,"High school graduate, or higher","Bachelor degree, or higher"
Midwood,53592,15.532168980444844,49914,159.75294455616202,21.200804366561332,31.312841137604135,76.84573398448723,63.602413099684,226.25682275208274,143.86670496983623,38.86814133869578,13.73168629704108
Morningside Heights,27890,22.251703119397632,37379,135.79474342928663,27.847309136420527,21.214017521902377,91.92740926157697,41.55193992490614,361.0137672090113,308.19774718397997,95.74468085106383,185.1063829787234
Morris Park,22243,11.549701029537381,22296,151.86880244088482,24.67581998474447,26.20137299771167,70.4042715484363,47.06331045003814,117.96338672768879,47.44469870327994,17.276887871853546,18.421052631578945
Morrisania,35322,35.714285714285715,25169,107.26092089728454,29.161747343565526,17.237308146399055,66.61747343565526,35.271546635183,52.18417945690673,10.182998819362457,1.948051948051948,0.5312868949232585
Mott Haven-Port Morris,54373,43.68344582789252,49694,306.8566340160285,66.74087266251114,56.54496883348175,162.4220837043633,65.85040071237755,96.260017809439,25.066785396260016,2.2707034728406055,2.4487978628673197
Mount Eden-Claremont (West),52518,31.80433375223733,50367,244.82531311799605,46.7699406723797,48.384970336189845,110.2175346077785,62.986156888595914,119.74291364535267,29.00461437046803,7.976268951878708,1.911667765326302
Mount Hope,48677,30.190849888037473,47167,inf,inf,inf,inf,inf,inf,inf,inf,inf
Mount Olivet & All Faiths Cemeteries,14,0.0,14,0.0,0.0,0.0,0.8526187576126675,0.0,0.0,0.0,0.0,0.0
Murray Hill-Broadway Flushing,55137,14.830331719172243,40756,818.2092555331993,66.59959758551308,98.28973843058351,347.78672032193157,352.71629778672036,465.79476861167007,249.09456740442658,60.66398390342053,23.641851106639837
Murray Hill-Kips Bay,56497,7.855284351381489,48642,108.90999547715965,12.890094979647218,28.132066938037088,118.40796019900498,31.886024423337854,771.7774762550882,320.30755314337404,167.209407507915,68.70194482134781
New Dorp-Midland Beach,28765,8.489483747609942,21835,215.16880646695196,30.290061816452685,43.22396576319544,87.4940561103186,47.17070851165002,147.26581074655255,70.51830718021873,13.02900618164527,4.897765097479791
New Springville-Willowbrook-Bulls Head-Travis,43645,10.01718409898041,34837,257.86314525810326,48.659463785514205,44.37775110044018,129.29171668667468,63.46538615446179,192.31692677070828,112.04481792717087,17.446978791516607,10.92436974789916
North Corona,42515,15.286369516641185,17687,226.59176029962546,7.972177635098983,9.149277688603531,41.091492776886035,23.274478330658106,33.119315141787055,10.272873194221509,3.5313001605136436,1.1235955056179776
Norwood,40740,29.26607756504664,29786,154.71938775510205,33.641581632653065,19.22831632653061,77.9655612244898,31.28188775510204,97.1938775510204,29.11352040816326,13.488520408163266,5.771683673469387
Oakland Gardens-Hollis Hills,27353,7.713961905458268,25223,120.26726057906458,16.512885777919188,21.285396118358257,54.342984409799556,59.720012726694236,144.22526248806872,83.55074769328667,20.999045497931913,7.954183900731785
Oakwood-Richmondtown,21304,7.083176868193767,20485,96.25878462174452,17.87928896238115,19.450186027284,38.176932616783795,21.992558908639932,46.5274906986358,33.484911120297646,5.9735427862753205,0.6614303431169904
Ocean Hill,39908,27.342888643880926,36805,313.22423706324633,47.545333923042904,28.792569659442723,118.22202565236621,91.24281291463954,161.60990712074303,48.6952675807165,8.226448474126492,3.538257408226449
Old Astoria-Hallets Point,13237,19.53614867417088,14574,95.96161535385845,10.195921631347462,11.915233906437425,34.626149540183924,31.067572970811675,104.79808076769292,38.18472610955618,9.956017592962816,5.7976809276289485
Ozone Park,25843,11.840730565336841,23966,71.00691201195592,16.663553147767608,15.710816364655333,40.85559499346161,24.154679618905288,54.3433588641883,20.082196898935177,2.0736035867737717,1.8681113394358302
Ozone Park (North),26314,14.718400851257885,25477,254.06091370558377,45.380710659898476,34.263959390862944,97.15736040609137,61.11675126903553,134.01015228426397,43.09644670050761,7.563451776649746,4.060913705583756
